Levels,CycleIteration,ResidualNorm
2,545,2.2303702e-07
2,546,2.2078390e-07
2,547,2.1855790e-07
2,548,2.1634241e-07
2,549,2.1416918e-07
2,550,2.1200365e-07
2,551,2.0985840e-07
2,552,2.0773116e-07
2,553,2.0563526e-07
2,554,2.0355353e-07
2,555,2.0150160e-07
2,556,1.9946385e-07
2,557,1.9744987e-07
2,558,1.9545648e-07
2,559,1.9347832e-07
2,560,1.9152189e-07
2,561,1.8958359e-07
2,562,1.8767485e-07
2,563,1.8577134e-07
2,564,1.8389384e-07
2,565,1.8203731e-07
2,566,1.8020342e-07
2,567,1.7837846e-07
2,568,1.7656905e-07
2,569,1.7479597e-07
2,570,1.7302190e-07
2,571,1.7127002e-07
2,572,1.6954833e-07
2,573,1.6783212e-07
2,574,1.6613604e-07
2,575,1.6446036e-07
2,576,1.6280104e-07
2,577,1.6115482e-07
2,578,1.5952211e-07
2,579,1.5790812e-07
2,580,1.5631167e-07
2,581,1.5473827e-07
2,582,1.5317354e-07
2,583,1.5162905e-07
2,584,1.5009280e-07
2,585,1.4857665e-07
2,586,1.4707390e-07
2,587,1.4559233e-07
2,588,1.4411807e-07
2,589,1.4266459e-07
2,590,1.4121956e-07
2,591,1.3979373e-07
2,592,1.3838032e-07
2,593,1.3698334e-07
2,594,1.3560252e-07
2,595,1.3423136e-07
2,596,1.3287240e-07
2,597,1.3152893e-07
2,598,1.3020098e-07
2,599,1.2888425e-07
2,600,1.2757846e-07
2,601,1.2629688e-07
2,602,1.2501796e-07
2,603,1.2375719e-07
2,604,1.2250493e-07
2,605,1.2126994e-07
2,606,1.2003741e-07
2,607,1.1882640e-07
2,608,1.1762888e-07
2,609,1.1643701e-07
2,610,1.1525831e-07
2,611,1.1409097e-07
2,612,1.1294414e-07
2,613,1.1180764e-07
2,614,1.1067271e-07
2,615,1.0955651e-07
2,616,1.0844671e-07
2,617,1.0734945e-07
2,618,1.0626314e-07
2,619,1.0518981e-07
2,620,1.0413084e-07
2,621,1.0307827e-07
2,622,1.0203987e-07
2,623,1.0101333e-07
2,624,9.9983197e-08
3,0,4.7063840e+03
3,1,1.7133293e+02
3,2,1.3036229e+01
3,3,1.0550208e+00
3,4,8.8358483e-02
3,5,7.5367564e-03
3,6,6.4935205e-04
3,7,5.8262960e-05
3,8,1.5104456e-05
3,9,1.3406781e-05
3,10,1.2705653e-05
3,11,1.2096292e-05
3,12,1.1541929e-05
3,13,1.1028641e-05
3,14,1.0548414e-05
3,15,1.0096116e-05
3,16,9.6681985e-06
3,17,9.2620704e-06
3,18,8.8757195e-06
3,19,8.5075623e-06
3,20,8.1562876e-06
3,21,7.8207782e-06
3,22,7.5000641e-06
3,23,7.1933038e-06
3,24,6.8997458e-06
3,25,6.6186801e-06
3,26,6.3494943e-06
3,27,6.0916056e-06
3,28,5.8444794e-06
3,29,5.6076277e-06
3,30,5.3805565e-06
3,31,5.1628473e-06
3,32,4.9540810e-06
3,33,4.7538709e-06
3,34,4.5618416e-06
3,35,4.3776443e-06
3,36,4.2009531e-06
3,37,4.0314323e-06
3,38,3.8688047e-06
3,39,3.7127672e-06
3,40,3.5630697e-06
3,41,3.4194156e-06
3,42,3.2815696e-06
3,43,3.1493033e-06
3,44,3.0223912e-06
3,45,2.9005996e-06
3,46,2.7837092e-06
3,47,2.6715389e-06
3,48,2.5639063e-06
3,49,2.4606074e-06
3,50,2.3614699e-06
3,51,2.2663397e-06
3,52,2.1750300e-06
3,53,2.0874076e-06
3,54,2.0033127e-06
3,55,1.9226081e-06
3,56,1.8451536e-06
3,57,1.7708152e-06
3,58,1.6994793e-06
3,59,1.6310161e-06
3,60,1.5653105e-06
3,61,1.5022490e-06
3,62,1.4417271e-06
3,63,1.3836347e-06
3,64,1.3278979e-06
3,65,1.2743990e-06
3,66,1.2230534e-06
3,67,1.1737826e-06
3,68,1.1264835e-06
3,69,1.0810990e-06
3,70,1.0375469e-06
3,71,9.9574255e-07
3,72,9.5563000e-07
3,73,9.1712064e-07
3,74,8.8017526e-07
3,75,8.4471030e-07
3,76,8.1067227e-07
3,77,7.7801113e-07
3,78,7.4665889e-07
3,79,7.1657164e-07
3,80,6.8770181e-07
3,81,6.5999291e-07
3,82,6.3339955e-07
3,83,6.0786841e-07
3,84,5.8338511e-07
3,85,5.5987440e-07
3,86,5.3731423e-07
3,87,5.1566783e-07
3,88,4.9489730e-07
3,89,4.7494700e-07
3,90,4.5580826e-07
3,91,4.3744176e-07
3,92,4.1981329e-07
3,93,4.0288663e-07
3,94,3.8665455e-07
3,95,3.7108042e-07
3,96,3.5613263e-07
3,97,3.4177748e-07
3,98,3.2800486e-07
3,99,3.1478960e-07
3,100,3.0209835e-07
3,101,2.8992947e-07
3,102,2.7825222e-07
3,103,2.6703046e-07
3,104,2.5628046e-07
3,105,2.4594691e-07
3,106,2.3603237e-07
3,107,2.2652432e-07
3,108,2.1739759e-07
3,109,2.0863347e-07
3,110,2.0023332e-07
3,111,1.9216579e-07
3,112,1.8441032e-07
3,113,1.7697749e-07
3,114,1.6985002e-07
3,115,1.6300824e-07
3,116,1.5643851e-07
3,117,1.5013394e-07
3,118,1.4408629e-07
3,119,1.3827670e-07
3,120,1.3270572e-07
3,121,1.2735644e-07
3,122,1.2222781e-07
3,123,1.1729836e-07
3,124,1.1257748e-07
3,125,1.0803912e-07
3,126,1.0367852e-07
3,127,9.9509563e-08
4,0,2.3763899e+04
4,1,9.4365905e+02
4,2,7.7973407e+01
4,3,6.9301157e+00
4,4,6.4024544e-01
4,5,6.0364164e-02
4,6,5.7586139e-03
4,7,5.5368026e-04
4,8,5.3674163e-05
4,9,6.1305430e-06
4,10,2.7054303e-06
4,11,2.2365893e-06
4,12,1.9003872e-06
4,13,1.6199237e-06
4,14,1.3826035e-06
4,15,1.1807833e-06
4,16,1.0087608e-06
4,17,8.6194912e-07
4,18,7.3656436e-07
4,19,6.2942043e-07
4,20,5.3788966e-07
4,21,4.5964493e-07
4,22,3.9278444e-07
4,23,3.3564125e-07
4,24,2.8680639e-07
4,25,2.4507861e-07
4,26,2.0941785e-07
